idviv,fecharecol,lat,lon,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011206342,26/4/2018,-2845747666,-6570393761,Evaluada y Rociada/tratada,,1,,0,0,0,19,,,,,,,,0,0,1,No,No,1,1,10,0,Mediano,,,,,,,,
1011206341,26/4/2018,-2845734883,-6570425754,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011206343,26/4/2018,,,Evaluada y Rociada/tratada,,,1,1,1,50,30,,,,,,,,0,2,4,No,No,1,1,3,0,Mediano,,,,,,,,
1011206344,26/4/2018,-2845706577,-6570481662,Evaluada,,,,0,0,0,0,,,,,,,,1,2,7,No,No,2,0,0,0,,,,,,,,,
1011206255,23/4/2018,-2844696474,-6570649945,Evaluada,,1,,0,0,6,3,,,,,,,,2,0,4,No,No,5,0,20,0,,,,,10,0,0,9,1
1011206254,23/4/2018,-2844682728,-6570649476,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,1,2,60,0,,,,,,,,,
1011206251,23/4/2018,-2844629955,-6570641915,Evaluada,,,,0,0,0,0,,,,,,,,1,2,10,No,No,5,0,0,0,,,,,,,,,
1011206252,23/4/2018,-2844637239,-6570698543,Evaluada,,,,0,0,0,0,,,,,,,,0,0,5,No,No,1,0,0,0,,,,,,,,,
1011206253,23/4/2018,-2844661497,-6570647355,Evaluada,,,,0,0,0,0,,,,,,,,2,0,4,No,No,2,0,0,0,,,,,,,,,
1011206115,20/4/2018,-2845159801,-6570650004,Evaluada,,,,0,0,0,0,,,,,,,,1,0,3,No,No,4,2,0,0,,,,,,,,,
