"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"1026",1011208249,0,NA,"-28.43740703","-65.70418202",NA,0,1,2,3,0,0,0,"Otros animales",1,NA,0,1
"1027",1011208249,1,"peri","-28.43740703","-65.70418202",NA,0,1,2,3,0,0,0,"Otros animales",1,NA,0,1
"1028",1011208250,0,NA,"-28.43724802","-65.70418403",NA,0,4,7,2,0,0,0,NA,NA,NA,0,0
"1029",1011208250,1,"domi","-28.43724802","-65.70418403",NA,0,4,7,2,0,0,0,NA,NA,NA,0,0
"1030",1011208820,0,NA,"-28.44254597","-65.70424296",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"1031",1011206341,0,NA,"-28.45734883","-65.70425754",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"1032",1011205816,0,NA,"-28.43744081","-65.70426509",NA,0,0,1,0,0,0,0,NA,NA,NA,1,1
"1033",1011208695,0,NA,"-28.440322","-65.70428596",NA,0,0,3,2,2,3,0,"conejos",2,NA,0,0
"1034",1011208254,0,NA,"-28.43786803","-65.70428696",NA,0,0,5,4,0,0,0,NA,NA,NA,0,0
"1035",1011208759,0,NA,"-28.4431918","-65.70430054",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"1036",1011205735,0,NA,"-28.44279969","-65.70430306",NA,2,2,9,0,0,0,0,NA,NA,NA,0,0
"1037",1011205912,0,NA,"-28.44517596","-65.70430499",NA,2,6,12,4,0,0,0,NA,NA,NA,0,0
"1038",1011208774,0,NA,"-28.4436378","-65.70431236",NA,0,3,13,5,1,0,0,NA,NA,NA,0,0
"1039",1011205867,0,NA,"-28.44346412","-65.70432653",NA,2,2,6,2,0,0,0,NA,NA,NA,0,0
"1040",1011205964,0,NA,"-28.441717","-65.70434497",NA,0,0,2,1,5,3,0,NA,NA,NA,1,0
"1041",1011205732,0,NA,"-28.44302793","-65.70435687",NA,0,3,6,6,4,0,0,NA,NA,NA,0,0
"1042",1011208255,0,NA,"-28.43815897","-65.70436299",NA,0,3,5,3,0,0,0,NA,NA,NA,0,0
"1043",1011205734,0,NA,"-28.44238806","-65.70436768",NA,1,0,6,2,1,0,0,NA,NA,NA,0,0
"1044",1011206075,0,NA,"-28.44992062","-65.70438461",NA,0,1,3,3,1,0,0,NA,NA,NA,0,0
"1045",1011206075,1,"peri","-28.44992062","-65.70438461",NA,0,1,3,2,1,0,0,NA,NA,NA,1,0
"1046",1011208818,0,NA,"-28.44254497","-65.70440196",NA,0,0,2,0,0,0,0,NA,NA,NA,0,0
"1047",1011208325,0,NA,"-28.44848497","-65.70440599",NA,0,0,3,0,0,0,0,NA,NA,NA,1,0
"1048",1011208251,0,NA,"-28.43844202","-65.70441898",NA,0,1,4,3,0,0,0,NA,NA,NA,0,0
"1049",1011206111,0,NA,"-28.44793403","-65.70442996",NA,0,0,4,3,0,0,0,NA,NA,NA,0,0
"1050",1011205814,0,NA,"-28.43800533","-65.70444136",NA,0,0,2,3,4,0,0,"Otros animales",2,NA,1,1
