idviv,fecharecol,lat,Columna1,LAT2,lon,Columna3,LON4,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011206845,12/9/2018,-28,449454,"-28,004495",-65,69728497,"-65,69728497",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,1,0,0,0,,,,,,,,,
1011205532,11/4/2018,-28,45824595,"-28,458246",-65,69728791,"-65,69728791",Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,Si,Si,0,0,0,0,,,,,,,,,
1011206911,17/9/2018,-28,44934202,"-28,449342",-65,69729201,"-65,69729201",Evaluada,,,,0,0,0,0,,,,,,,,1,2,8,No,Si,5,1,0,0,,,,,,,,,
1011205593,27/4/2018,-28,45418097,"-28,454181",-65,69729403,"-65,69729403",Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,No,,,,1,3,7,Si,No,6,2,0,0,,,Otros animales,15,1,0,0,1,0
1011205593,11/4/2018,-28,45418097,"-28,454181",-65,69729403,"-65,69729403",Evaluada,,1,,0,0,0,1,,,,,,,,1,3,7,Si,No,6,2,0,0,,,Otros animales,15,,,,,
1011205378,10/4/2018,-28,45954699,"-28,459547",-65,69729503,"-65,69729503",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,Si,Si,4,2,2,0,Chico,,,,,,,,
1011206840,11/9/2018,-28,45252496,"-28,452525",-65,69729696,"-65,69729696",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,0,0,0,0,,,,,,,,,
1011205489,10/4/2018,-28,46315749,"-28,463157",-65,69729922,"-65,69729922",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,Si,Si,0,0,0,0,,,,,,,,,
1011206894,12/9/2018,-28,45002799,"-28,450028",-65,69730098,"-65,69730098",Evaluada,,,,0,0,0,0,,,,,,,,0,2,5,No,No,2,1,10,0,,,,,,,,,
1011206505,29/8/2018,-28,46178202,"-28,461782",-65,69730802,"-65,69730802",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011205647,13/4/2018,-28,44646703,"-28,446467",-65,69732998,"-65,69732998",Evaluada,,,,0,0,0,0,,,,,,,,1,0,2,No,No,1,0,0,0,,,,,,,,,
1011206546,31/8/2018,-28,46012601,"-28,460126",-65,69733401,"-65,69733401",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206647,4/9/2018,-28,45959803,"-28,459598",-65,69734197,"-65,69734197",Evaluada,,,,0,0,0,0,,,,,,,,0,1,6,No,No,5,3,0,0,,,,,,,,,
1011205579,26/4/2018,-28,45364696,"-28,453647",-65,69734599,"-65,69734599",Evaluada,,,,0,0,0,0,,,,,,,,1,4,5,Si,Si,0,0,0,0,,,,,,,,,
1011205579,11/4/2018,-28,45364696,"-28,453647",-65,69734599,"-65,69734599",Evaluada,,,,0,0,0,0,,,,,,,,0,4,5,No,Si,0,0,0,0,,,,,,,,,
1011208276,26/9/2018,-28,44189101,"-28,441891",-65,69734801,"-65,69734801",Evaluada,,,,0,0,0,0,,,,,,,,1,0,3,No,No,3,0,0,0,,,,,,,,,
1011206910,14/9/2018,-28,44921797,"-28,449218",-65,69735002,"-65,69735002",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,Si,No,5,1,0,0,,,,,,,,,
1011206598,3/9/2018,-28,45892203,"-28,458922",-65,69738204,"-65,69738204",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,2,0,0,0,,,,,,,,,
1011206605,3/9/2018,-28,45941103,"-28,459411",-65,69738204,"-65,69738204",Evaluada,,,,0,0,0,0,,,,,,,,1,1,4,No,No,0,0,0,0,,,,,,,,,
1011206646,4/9/2018,-28,459996,"-28,004600",-65,69738296,"-65,69738296",Evaluada,,,,0,0,0,0,,,,,,,,3,1,8,No,No,2,0,0,0,,,,,,,,,
1011206320,28/8/2018,-28,46319898,"-28,463199",-65,69738296,"-65,69738296",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205324,11/4/2018,-28,45515604,"-28,455156",-65,69738396,"-65,69738396",Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,3,1,0,0,,,,,,,,,
1011205371,10/4/2018,-28,46011201,"-28,460112",-65,69739201,"-65,69739201",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,Si,Si,4,0,0,0,,,,,,,,,
1011205621,11/4/2018,-28,46052331,"-28,460523",-65,69739922,"-65,69739922",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011205349,11/4/2018,-28,45461097,"-28,454611",-65,69739997,"-65,69739997",Evaluada,,,,0,0,0,0,,,,,,,,2,2,5,No,No,1,0,0,0,,,,,,,,,
1011206544,31/8/2018,-28,46045299,"-28,460453",-65,69740701,"-65,69740701",Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,2,0,0,0,,,,,,,,,
1011206895,12/9/2018,-28,44995398,"-28,449954",-65,69741297,"-65,69741297",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,0,0,0,,,,,,,,,
1011206784,10/9/2018,-28,45513601,"-28,455136",-65,69742696,"-65,69742696",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206604,3/9/2018,-28,45935797,"-28,459358",-65,69743501,"-65,69743501",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206841,11/9/2018,-28,45253301,"-28,452533",-65,69743702,"-65,69743702",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205462,10/4/2018,-28,45885003,"-28,458850",-65,69745102,"-65,69745102",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,,,,,,,,,,,,
1011206664,5/9/2018,-28,45777597,"-28,457776",-65,69745596,"-65,69745596",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206504,29/8/2018,-28,46177498,"-28,461775",-65,69745898,"-65,69745898",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
